timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-31,10.5200,10.5200,10.5200,10.5200,10.5200,501,0.0000,1.0000
2019-07-30,10.4800,10.4800,10.4800,10.4800,10.4800,242,0.0000,1.0000
2019-07-29,10.5500,10.5500,10.5465,10.5465,10.5465,351,0.0000,1.0000
2019-07-26,10.5500,10.5500,10.4700,10.4800,10.4800,31701,0.0000,1.0000
2019-07-25,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-24,10.4900,10.4900,10.4600,10.4600,10.4600,200,0.0000,1.0000
2019-07-23,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-22,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-19,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-18,10.4600,10.4600,10.4600,10.4600,10.4600,40,0.0000,1.0000
2019-07-17,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-16,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-15,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-12,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-11,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-10,10.4600,10.4600,10.4600,10.4600,10.4600,0,0.0000,1.0000
2019-07-09,10.4600,10.4705,10.4600,10.4600,10.4600,16598,0.0000,1.0000
2019-07-08,10.4600,10.4601,10.4600,10.4601,10.4601,1950,0.0000,1.0000
2019-07-05,10.4600,10.4600,10.4600,10.4600,10.4600,925,0.0000,1.0000
2019-07-03,10.4450,10.4450,10.4450,10.4450,10.4450,0,0.0000,1.0000
2019-07-02,10.4450,10.4450,10.4450,10.4450,10.4450,0,0.0000,1.0000
2019-07-01,10.4200,10.4458,10.4200,10.4450,10.4450,1900,0.0000,1.0000
2019-06-28,10.4690,10.4690,10.4690,10.4690,10.4690,0,0.0000,1.0000
2019-06-27,10.4801,10.4801,10.4689,10.4689,10.4689,1100,0.0000,1.0000
2019-06-26,10.4450,10.4450,10.4450,10.4450,10.4450,0,0.0000,1.0000
2019-06-25,10.4449,10.4451,10.4201,10.4451,10.4451,400,0.0000,1.0000
2019-06-24,10.4201,10.4207,10.4200,10.4207,10.4207,7050,0.0000,1.0000
2019-06-21,10.4800,10.4800,10.4800,10.4800,10.4800,100,0.0000,1.0000
2019-06-20,10.4800,10.4800,10.4650,10.4800,10.4800,6900,0.0000,1.0000
2019-06-18,10.4800,10.4800,10.4800,10.4800,10.4800,0,0.0000,1.0000
2019-06-17,10.4800,10.4800,10.4800,10.4800,10.4800,0,0.0000,1.0000
2019-06-14,10.4644,10.4800,10.4644,10.4800,10.4800,1300,0.0000,1.0000
2019-06-13,10.4201,10.4201,10.4201,10.4201,10.4201,32,0.0000,1.0000
2019-06-12,10.4200,10.4200,10.4200,10.4200,10.4200,0,0.0000,1.0000
2019-06-11,10.4200,10.4201,10.4200,10.4201,10.4201,4615,0.0000,1.0000
2019-06-10,10.4500,10.4800,10.4500,10.4800,10.4800,555,0.0000,1.0000
2019-06-07,10.4200,10.4200,10.4200,10.4200,10.4200,20,0.0000,1.0000
2019-06-06,10.4200,10.4200,10.4200,10.4200,10.4200,34,0.0000,1.0000
2019-06-05,10.4200,10.4200,10.4200,10.4200,10.4200,8,0.0000,1.0000
2019-06-04,10.4200,10.4200,10.4200,10.4200,10.4200,2,0.0000,1.0000
2019-06-03,10.4200,10.4200,10.4200,10.4200,10.4200,0,0.0000,1.0000
2019-05-31,10.4500,10.4500,10.4200,10.4200,10.4200,303950,0.0000,1.0000
2019-05-30,10.4200,10.4200,10.4200,10.4200,10.4200,100,0.0000,1.0000
2019-05-29,10.4800,10.4800,10.4200,10.4200,10.4200,6031,0.0000,1.0000
2019-05-28,10.4200,10.4200,9.1700,10.4200,10.4200,9960,0.0000,1.0000
2019-05-24,10.4200,10.4200,10.4200,10.4200,10.4200,0,0.0000,1.0000
2019-05-23,10.4200,10.4200,10.4200,10.4200,10.4200,1100,0.0000,1.0000
2019-05-22,10.4200,10.4200,10.4200,10.4200,10.4200,0,0.0000,1.0000
2019-05-21,10.4300,10.4300,10.4200,10.4200,10.4200,55200,0.0000,1.0000
2019-05-20,10.4800,10.4800,10.4500,10.4500,10.4500,1620,0.0000,1.0000
2019-05-17,10.4500,10.4500,10.4500,10.4500,10.4500,325,0.0000,1.0000
2019-05-16,10.4500,10.4600,10.4500,10.4600,10.4600,300,0.0000,1.0000
2019-05-15,10.4200,10.4200,10.4200,10.4200,10.4200,500,0.0000,1.0000
